Name of location,City/Municipality,Province,Region 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Tanauan City ,Batangas,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Batangas City ,Batangas,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Lipa City,Batangas,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),San Jose,Batangas,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Las Piñas City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Pasay City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Manila City,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",San Mateo,Rizal,IV-A
UP Diliman ,Quezon City,Metro Manila ,NCR 
Muntinlupa City Jail - Laguerta,Muntinlupa City ,Metro Manila ,NCR 
Muntinlupa City Jail – Tunasan,Muntinlupa City ,Metro Manila ,NCR 
Extreme Response Manila Children’s Home,San Pedro City,Laguna ,IV-A
Extreme Response Manila Children’s Home,Muntinlupa City ,Metro Manila ,NCR 
Extreme Response Manila Children’s Home,Pasay City ,Metro Manila ,NCR 
Extreme Response Manila Children’s Home,Las Piñas City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Balamban,Cebu,VII
Virlanie Foundation  ,Makati City ,Metro Manila ,NCR 
SOS Children's Village Manila,Muntinlupa City ,Metro Manila ,NCR 
UPLB ,Los Baños,Laguna ,IV-A
"Imam Council of the Philippines, lnc.",Tanauan City ,Batangas,IV-A
Tahanang Walang Hagdan ,Cainta ,Rizal,IV-A
LAMAC Multi-Purpose Cooperative,Pinamungajan,Cebu,VII
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Toledo City,Cebu,VII
LAMAC Multi-Purpose Cooperative,Cebu City,Cebu,VII
"LGU of Oton, Iloilo  ",Oton ,Iloilo Province,VI
"Ahon sa Hirap, Inc.",Pangil,Laguna ,IV-A
"Ahon sa Hirap, Inc.",Famy,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Tarlac City,Tarlac,III
"LGU of Taytay, Rizal  ",Taytay,Rizal,IV-A
"LGU of Lambunao, Iloilo ",Lambunao ,Iloilo Province,VI
"GMA Kapuso Foundation, Inc.",Caloocan City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Meycauayan City,Bulacan ,III
"Don Bosco TVET Center - Calauan, Inc.",Calauan,Laguna ,IV-A
AJ Kalinga Foundation ,Manila City,Metro Manila ,NCR 
City Government of Iloilo,Iloilo City ,Iloilo Province,VI
"Consuelo Madrigal Foundation, Inc.",Calamba City,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Trece Martires City ,Cavite,IV-A
Ateneo De Manila University ,Quezon City,Metro Manila ,NCR 
Jesus New Creation Evangelistic Ministries International Church,Antipolo City,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Valenzuela City ,Metro Manila ,NCR 
"LGU of Cainta, Rizal ",Cainta ,Rizal,IV-A
Diocese of Pasig - St John de Baptist Parish ,Taguig City ,Metro Manila ,NCR 
Kapatiran sa Tanay Highlands,Tanay ,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Quezon City,Metro Manila ,NCR 
Unang Hakbang (Volunteer Nursing Students from Bulacan State University) ,Malolos City ,Bulacan ,III
"Meycauayan Muslim and Christian Alliance, Inc. ",Meycauayan City,Bulacan ,III
"GMA Kapuso Foundation, Inc.",Dasmariñas City,Cavite,IV-A
"GMA Kapuso Foundation, Inc.",San Jose del Monte City,Bulacan ,III
Philippine Educational Theater Association (PETA),Quezon City,Metro Manila ,NCR 
Sons of Charity ,Quezon City,Metro Manila ,NCR 
Diocese of Caloocan,Navotas City ,Metro Manila ,NCR 
Diocese of Caloocan,Caloocan City ,Metro Manila ,NCR 
Diocese of Caloocan,Malabon City ,Metro Manila ,NCR 
Philippine Educational Theater Association (PETA),Pateros,Metro Manila ,NCR 
AKAP Pamilya,Caloocan City ,Metro Manila ,NCR 
Fight to Protect ,Quezon City,Metro Manila ,NCR 
Fight to Protect ,Cainta ,Rizal,IV-A
Fight to Protect ,Alfonso ,Cavite,IV-A
Fight to Protect ,Antipolo City,Rizal,IV-A
Metro-Laguna Baptist Church ,Calamba City,Laguna ,IV-A
St. Clement Parish ,Angono,Rizal,IV-A
Philippine Business for Social Progress (PBSP),Antipolo City,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Pasig City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Manila City,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Caloocan City ,Metro Manila ,NCR 
"Don Bosco Youth Center - Tondo, Inc.",Caloocan City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Sta. Maria,Bulacan ,III
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Calumpit,Bulacan ,III
SOS Children's Village Lipa,Lipa City,Batangas,IV-A
Provincial Social Welfare Development Office Batangas ,Batangas City ,Batangas,IV-A
"Ahon sa Hirap, Inc.",Morong,Rizal,IV-A
"Ahon sa Hirap, Inc.",Jala-Jala,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Mandaluyong City,Metro Manila ,NCR 
Philippine Business for Social Progress (PBSP),Taguig City ,Metro Manila ,NCR 
Philippine Business for Social Progress (PBSP),Malabon City ,Metro Manila ,NCR 
Philippine Business for Social Progress (PBSP),Valenzuela City ,Metro Manila ,NCR 
Philippine Red Cross Calamba Chapter,Calamba City,Laguna ,IV-A
Diocese of Pasig - St Ignatius Loyola Parish ,Taguig City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Taguig City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Pila,Laguna ,III
Disciples of Saint John the Apostle - Discipuli Spei,Quezon City,Metro Manila ,NCR 
Samahan ng Ikatlong Lahi ng Bay,Bay ,Laguna ,IV-A
Modern San Joseño Youths ,San Jose del Monte City,Bulacan ,III
AKAP Pamilya,Quezon City,Metro Manila ,NCR 
Community Organizers Multiversity,Taguig City ,Metro Manila ,NCR 
Diocese of Pasig - San Roque Parish,Pateros,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Navotas City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Pateros,Metro Manila ,NCR 
Community Organizers Multiversity,Antipolo City,Rizal,IV-A
Sitio Pagasa Home Owners Association ,Biñan City,Laguna ,IV-A
Presidential Commission for the Urban Poor (PCUP),Las Piñas City ,Metro Manila ,NCR 
Diocese of Cubao - Sta. Maria Della Strada Parish ,Quezon City,Metro Manila ,NCR 
Extreme Response Manila Children’s Home,General Trias City ,Cavite,IV-A
Extreme Response Manila Children’s Home,Ternate ,Cavite,IV-A
Autism Society Philippines San Mateo Chapter,San Mateo,Rizal,IV-A
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Malabon City ,Metro Manila ,NCR 
"Camillian Fathers, Inc. ",Antipolo City,Rizal,IV-A
"Camillian Fathers, Inc. ",Marikina City ,Metro Manila ,NCR 
"Camillian Fathers, Inc. ",Pasig City ,Metro Manila ,NCR 
"Camillian Fathers, Inc. ",Makati City ,Metro Manila ,NCR 
"Camillian Fathers, Inc. ",Quezon City,Metro Manila ,NCR 
"Camillian Fathers, Inc. ",Cainta ,Rizal,IV-A
"Camillian Fathers, Inc. ",Caloocan City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Navotas City ,Metro Manila ,NCR 
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Navotas City ,Metro Manila ,NCR 
"LGU of Nagcarlan, Laguna (thru Vice Mayor Rexon) ",Nagcarlan ,Laguna ,IV-A
"BLGU of Arkong Bato, Valenzuela ",Valenzuela City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Quezon City,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Tanay ,Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Cavinti,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Taguig City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Pasig City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Navotas City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Manila City,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Rosario ,Cavite,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Cainta ,Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Antipolo City,Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Taytay,Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Makati City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Caloocan City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Lipa City,Batangas,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Pila,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Pagsanjan ,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Lumban,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Kalayaan,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Famy,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Paete,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Mabitac,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Sta. Maria,Laguna ,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Muntinlupa City ,Metro Manila ,NCR 
Don Bosco College - Canlubang,Calamba City,Laguna ,IV-A
"Don Bosco TVET Center - Calauan, Inc.",Calamba City,Laguna ,IV-A
"Barangay Council of Brgy. Pag-asa, BInangonan Rizal",Binangonan ,Rizal,IV-A
Eagles Nest Christian Academy ,Sta. Barbara ,Pangasinan ,I
Eagles Nest Christian Academy ,Dagupan City ,Pangasinan ,I
Eagles Nest Christian Academy ,Binalonan,Pangasinan ,I
Eagles Nest Christian Academy ,Mapandan ,Pangasinan ,I
Eagles Nest Christian Academy ,Calasiao ,Pangasinan ,I
Hundred Island Farmpreneurs Agriculture Cooperative,Alaminos City ,Pangasinan ,I
Tugui Grande Fresh Produce Farmers Association ,Bani ,Pangasinan ,I
Alcala Onion Multi-Purpose Cooperative,Alcala,Pangasinan ,I
"KALASAG Multi-Purpose Cooperative/ LGU of San Jose City, Nueva Ecija ",San Jose City ,Nueva Ecija ,III
Presidential Commission for the Urban Poor (PCUP),San Juan City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Pasay City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Quezon City,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Kawit ,Cavite,IV-A
Presidential Commission for the Urban Poor (PCUP),Bacoor City ,Cavite,IV-A
Presidential Commission for the Urban Poor (PCUP),San Jose del Monte City,Bulacan ,III
Community Organizers Multiversity,Rodriguez (Montalban),Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Bacoor City ,Cavite,IV-A
DAOP PALAD PWD Organization ,San Jose del Monte City,Bulacan ,III
"Payatas PWD's and Guardian Association, Inc.",Quezon City,Metro Manila ,NCR 
Community Organizers Multiversity,Taytay,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Antipolo City,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Trece Martires City ,Cavite,IV-A
Presidential Commission for the Urban Poor (PCUP),Rodriguez (Montalban),Rizal,IV-A
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Caloocan City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Batangas City ,Batangas,IV-A
Presidential Commission for the Urban Poor (PCUP),San Pedro City,Laguna ,IV-A
"Boses ng May Kapansanan sa Pilipinas, Inc.",San Jose del Monte City,Bulacan ,III
"Alyansa Ng May Kapansanan Na Nagmamaneho Ng Sasakyan At Motor Sa Pilipinas, Inc. (ALKASAMOPI)",Cainta ,Rizal,IV-A
Presidential Commission for the Urban Poor (PCUP),Calauan,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Balagtas,Bulacan ,III
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Hagonoy,Bulacan ,III
Community Organizers Multiversity,Calamba City,Laguna ,IV-A
Presidential Commission for the Urban Poor (PCUP),Makati City ,Metro Manila ,NCR 
Presidential Commission for the Urban Poor (PCUP),Malabon City ,Metro Manila ,NCR 
Armed Forces of the Philippines (AFP) Leadership Center,Rodriguez (Montalban),Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,San Mateo,Rizal,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Batangas City ,Batangas,IV-A
Armed Forces of the Philippines (AFP) Leadership Center,Cavite City ,Cavite,IV-A
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Manila City,Metro Manila ,NCR 
Community Organizers Multiversity,Batangas City ,Batangas,IV-A
TeamSpeed Transport Group,Bulakan,Bulacan ,III
TeamSpeed Transport Group,Bustos,Bulacan ,III
TeamSpeed Transport Group,Calumpit,Bulacan ,III
TeamSpeed Transport Group,Guiginto ,Bulacan ,III
TeamSpeed Transport Group,Malolos City ,Bulacan ,III
TeamSpeed Transport Group,Marilao ,Bulacan ,III
TeamSpeed Transport Group,Meycauayan City,Bulacan ,III
TeamSpeed Transport Group,Pandi,Bulacan ,III
TeamSpeed Transport Group,Plaridel,Bulacan ,III
TeamSpeed Transport Group,San Jose del Monte City,Bulacan ,III
TeamSpeed Transport Group,San Miguel,Bulacan ,III
TeamSpeed Transport Group,San Rafael,Bulacan ,III
TeamSpeed Transport Group,Sta. Maria,Bulacan ,III
TeamSpeed Transport Group,Carmona,Cavite,IV-A
TeamSpeed Transport Group,Dasmariñas City,Cavite,IV-A
TeamSpeed Transport Group,General Trias City ,Cavite,IV-A
TeamSpeed Transport Group,General Mariano Alvarez (GMA),Cavite,IV-A
TeamSpeed Transport Group,Imus,Cavite,IV-A
TeamSpeed Transport Group,Kawit ,Cavite,IV-A
TeamSpeed Transport Group,Tanza,Cavite,IV-A
TeamSpeed Transport Group,Trece Martires City ,Cavite,IV-A
TeamSpeed Transport Group,Caloocan City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Las Piñas City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Makati City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Malabon City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Mandaluyong City,Metro Manila ,NCR 
TeamSpeed Transport Group,Manila City,Metro Manila ,NCR 
TeamSpeed Transport Group,Marikina City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Muntinlupa City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Navotas City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Parañaque City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Pasig City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Pateros,Metro Manila ,NCR 
TeamSpeed Transport Group,Quezon City,Metro Manila ,NCR 
TeamSpeed Transport Group,San Juan City ,Metro Manila ,NCR 
TeamSpeed Transport Group,Taguig City ,Metro Manila ,NCR 
TeamSpeed Transport Group,San Fernando City,Pampanga,III
TeamSpeed Transport Group,Angono,Rizal,IV-A
TeamSpeed Transport Group,Antipolo City,Rizal,IV-A
TeamSpeed Transport Group,Binangonan ,Rizal,IV-A
TeamSpeed Transport Group,Cainta ,Rizal,IV-A
TeamSpeed Transport Group,Morong,Rizal,IV-A
TeamSpeed Transport Group,Rodriguez (Montalban),Rizal,IV-A
TeamSpeed Transport Group,San Mateo,Rizal,IV-A
TeamSpeed Transport Group,Taytay,Rizal,IV-A
TeamSpeed Transport Group,Teresa,Rizal,IV-A
Mary Ann Marin-Streeter ,Quezon City,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Malabon City ,Metro Manila ,NCR 
"GMA Kapuso Foundation, Inc.",Calauan,Laguna ,IV-A
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Quezon City,Metro Manila ,NCR 
Community Organizers Multiversity,Sta. Rosa City,Laguna ,IV-A
"GMA Kapuso Foundation, Inc.",Rosario ,Cavite,IV-A
"GMA Kapuso Foundation, Inc.",Antipolo City,Rizal,IV-A
"GMA Kapuso Foundation, Inc.",Sta. Rosa City,Laguna ,IV-A
"GMA Kapuso Foundation, Inc.",Binangonan ,Rizal,IV-A
Philippine Marine Corps - Sailors & Marines,Taguig City ,Metro Manila ,NCR 
Philippine Marine Corps - Border Patrol,Taguig City ,Metro Manila ,NCR 
Manila Naval Hospital,Taguig City ,Metro Manila ,NCR 
Philippine Marine Corps & Clusters,Taguig City ,Metro Manila ,NCR 
121 Restaurant,Makati City ,Metro Manila ,NCR 
121 Restaurant ,Makati City ,Metro Manila ,NCR 
Philippine Marine Corps,Taguig City ,Metro Manila ,NCR 
Philippine Marine Corps - Taguig,Taguig City ,Metro Manila ,NCR 
National Kidney and Transplant Institute,Quezon City,Metro Manila ,NCR 
National Children’s Hospital,Quezon City,Metro Manila ,NCR 
Philippine Children’s Medical Center,Quezon City,Metro Manila ,NCR 
Philippine Navy,Taguig City ,Metro Manila ,NCR 
Pasig City Community Kitchen,Pasig City ,Metro Manila ,NCR 
Philippine Marine Corps - Taguig Headquarters,Taguig City ,Metro Manila ,NCR 
Frontline Feeders Philippines - 121 Restaurant,Makati City ,Metro Manila ,NCR 
PCUP,Valenzuela City ,Metro Manila ,NCR 
Art Relief Mobile Kitchen ,Davao City,Davao Del Sur,XI
Dana Foundation ,Davao City,Davao Del Sur,XI
UP - Philippine General Hospital ,Manila City,Metro Manila ,NCR 
Lung Center of the Philippines,Quezon City,Metro Manila ,NCR 
Fronline Feeders,Quezon City,Metro Manila ,NCR 
Fronline Feeders,Antipolo City,Rizal,IV-A
Fronline Feeders,Gen. Aguinaldo,Cavite,IV-A
East Ave Medical Center ,Quezon City,Metro Manila ,NCR 
SPECS Foundation,Pasay City ,Metro Manila ,NCR 
2KK Tulong sa Kapwa Kapatid Foundation,Quezon City,Metro Manila ,NCR 
Don Bosco Technical Institute - Tarlac,Tarlac City,Tarlac,III
Tarlac Provincial Hospital,Tarlac City,Tarlac,III
Region I Medical Center,Dagupan City,Pangasinan,I
Research Institute for Tropical Medicine ,Muntinlupa City ,Metro Manila ,NCR 
San Lazaro Hospital ,Manila City,Metro Manila ,NCR 
Tondo Medical Center,Manila City,Metro Manila ,NCR 
National Kidney and Transplant Institute ,Quezon City,Metro Manila ,NCR 
Philippine Heart Center,Quezon City,Metro Manila ,NCR 
Dr. Jose N. Rodriguez Memorial Hospital,Caloocan City ,Metro Manila ,NCR 
Valenzuela Medical Center ,Valenzuela City ,Metro Manila ,NCR 
San Lorenzo Ruiz Women's Hospital ,Malabon City ,Metro Manila ,NCR 
Eagle's Nest Christian Academy,Sta. Barbara,Pangasinan,I
National Children's Hospital,Quezon City,Metro Manila ,NCR 
Las Pińas General Hospital and Satellite Trauma Center,Las Piñas City ,Metro Manila ,NCR 
Bicol Medical Center,Naga City,Camarines Sur,V
Quezon City General Hospital,Quezon City,Metro Manila ,NCR 
Dr. Jose Fabella Memorial Hospital,Manila City,Metro Manila ,NCR 
Sta. Ana Hospital,Manila City,Metro Manila ,NCR 
Veterans Memorial Medical Center,Quezon City,Metro Manila ,NCR 
Anihan Technical School,Calamba City,Laguna,IV-A
Diocese of Pasig - St. Anne Parish ,Taguig City ,Metro Manila ,NCR 
GMA Kapuso Foundation ,Valenzuela City ,Metro Manila ,NCR 
Atty. Bernie ,San Andres,Romblon ,IV-B
AKAP Pamilya ,Caloocan City ,Metro Manila ,NCR 
Camarines Norte Provincial Hospital,Daet,Camarines Norte,V
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Imus City,Cavite,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Dasmarinas City ,Cavite,IV-A
PCUP,Quezon City,Metro Manila ,NCR 
PCUP,Manila City,Metro Manila ,NCR 
PCUP,Mandaluyong City,Metro Manila ,NCR 
PCUP,Malabon City ,Metro Manila ,NCR 
PCUP,Marikina City ,Metro Manila ,NCR 
PCUP,Navotas City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Binangonan ,Rizal,IV-A
NORFIL Foundation Inc,Quezon City,Metro Manila ,NCR 
NORFIL Foundation Inc,Cainta ,Rizal,IV-A
NORFIL Foundation Inc,Manila City,Metro Manila ,NCR 
AKAP Pamilya ,Quezon City,Metro Manila ,NCR 
"Ahon sa Hirap, Inc ",Kalayaan,Laguna,IV-A
"Ahon sa Hirap, Inc ",Lumban ,Laguna,IV-A
"Ahon sa Hirap, Inc ",Paete,Laguna,IV-A
"Ahon sa Hirap, Inc ",Pakil ,Laguna,IV-A
"Ahon sa Hirap, Inc ",Pangil,Laguna,IV-A
"Ahon sa Hirap, Inc ",Siniloan ,Laguna,IV-A
GMA Kapuso Foundation ,Pandi,Bulacan ,III
Art Relief Mobile Kitchen ,Los Baños,Laguna,IV-A
GMA Kapuso Foundation ,Tarlac City,Tarlac,III
PCUP,Calintaan ,Occidental Mindoro,IV-B
GMA Kapuso Foundation ,Baras,Rizal,IV-A
GMA Kapuso Foundation ,Guimba ,Nueva Ecija ,III
"Ahon sa Hirap, Inc ",Tanay ,Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),San Fernando City ,Pampanga ,III
AKAP Pamilya ,Manila City,Metro Manila ,NCR 
GMA Kapuso Foundation ,Rodriguez,Rizal,IV-A
PCUP,Rodriguez,Rizal,IV-A
ICAN Foundation ,Quezon City,Metro Manila ,NCR 
Tahanang Walang Hagdan,Cainta ,Rizal,IV-A
"Ahon sa Hirap, Inc ",Pangil ,Laguna ,IV-A
Samira Gutoc ,Cainta ,Rizal,IV-A
Kasagana Ka Development Cooperative,Caloocan City ,Metro Manila ,NCR 
WTC/NBI,Manila City,Metro Manila ,NCR 
WTC/Malacañang,Manila City,Metro Manila ,NCR 
DILG ,Pasay City,Metro Manila ,NCR 
"WTC/Joint Task Force NCR: 
AFP under NCR RIATF",Quezon City,Metro Manila ,NCR 
PLGU Laguna,Sta. Cruz City,Laguna,IV-A
LGU Quezon City,Quezon City,Metro Manila,NCR
LGU Manila City,Manila City,Metro Manila,NCR
LGU Mandaluyong City,Mandaluyong City,Metro Manila,NCR
Brgy. Industrial Valley,Marikina City,Metro Manila,NCR
St. Therese Monastery,Quezon City,Metro Manila,NCR
LGU Pasig City,Pasig City ,Metro Manila,NCR
Brgy. Batasan Hills,Quezon City,Metro Manila,NCR
Front Line Feeders UP VIllage,Quezon City,Metro Manila,NCR
Chong Hua Hospital,Cebu City,Cebu,VII
CARDINAL SANTOS MEMORIAL MEDICAL CENTER,San Juan City,Metro Manila,NCR
MAKATI MEDICAL CENTER,Makati City ,Metro Manila,NCR
Vicente Sotto Memorial Medical Center,Cebu City,Cebu,VII
